"code","nom","adresse","latitude","longitude","horaires","jours_ouvert","image_url","email","telephone","ispmr","zone","paiement","acces","ouvert","actif","region.code","region.libelle","type.code","type.libelle"
1661,"Cafet' Ensat","Avenue de l'Agrobiopôle, 31326 CASTANET-TOLOSAN",43.53352,1.489637,"Du lundi au vendredi de 8h à 16h., Attention, ces horaires sont susceptibles d'évoluer.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,"restaurant.ensat@crous-toulouse.fr","05.61.12.63.37",FALSE,"Toulouse","Carte bancaire, IZLY","Métro B - Station Ramonville puis bus ligne 62 arrêt ENSAT.",TRUE,NA,5,"Toulouse",2,"Cafétéria"
1371,"SALON DE JAUDE (restaurant)","11 Boulevard Charles de Gaulle",45.77347,3.08337,"du lundi au vendredi de 12h à 13h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1371/preview","restaurant-dolet@crous-clermont.fr","04.73.34.44.28",TRUE,"Rdo - centre-ville","Carte bancaire","Tram A arrêt Lagarlaye",TRUE,NA,11,"Clermont-Ferrand",1,"Restaurant"
1282,"Cafeteria du SUP SUAIO (campus Cité Scientifique)","Avenue Paul Langevin - Cite Scientifique , 59650 VILLENEUVE D'ASCQ",50.610302,3.137955,"Fermé","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1282/preview","restaurant.sully@crous-lille.fr","03.74.09.12.68",TRUE,"Villeneuve d'ascq (cité scientifique)","IZLY","Metro 4 cantons",TRUE,NA,16,"Lille",2,"Cafétéria"
160,"Cafétéria Neuville","5, mail Gay-Lussac - 95031 Cergy-Pontoise",49.01713,2.075022,"8h30-16h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/160/preview",NA,"01.34.25.73.20",TRUE,"Val d'oise","Carte bancaire, IZLY","",TRUE,NA,6,"Versailles",2,"Cafétéria"
1578,"Cafet' Hoche","place Gaston Doumergue 30 000 Nîmes",43.84553,4.372449,"du lundi au vendredi de 7h30 à 15h.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1578/preview",NA,NA,FALSE,"Nîmes","Carte bancaire, IZLY","Bus ligne 6 ou ligne16 - arrêt Doumergue",TRUE,NA,18,"Montpellier",2,"Cafétéria"
2271,"Brasserie Odontologie","545 avenue professeur jean louis viala",43.63615,3.823878,"8h00 à 14h45, service du midi 11h15 13h45","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, FALSE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,NA,NA,TRUE,"Montpellier","Carte bancaire, IZLY","tram, bus",TRUE,NA,18,"Montpellier",5,"Brasserie"
1098,"Le Rapido","Avenue René Cassin Sainte-Clotilde 97490",-20.9021,55.483833,"11h30-13h30, Prestations :, - pâtes fraîches maison + divers sauces  (carbonara, bolognaise, saumon et sauce du jour)., - Barquettes de cari variés (avec tous les jours Rougail saucisses)","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1098/preview","restauration.nord@crous-reunion.fr",NA,TRUE,"Site nord","Espèces, IZLY","Il se situe à l'extérieur du restaurant, face à la faculté de droit, d'économie.",TRUE,NA,29,"La Réunion",1,"Restaurant"
20,"Restaurant administratif Le Haut-Carré","43, rue Pierre Noailles 33400 TALENCE",44.810036,-0.5945264,"du lundi au vendredi, 11h30-13h45, Salle ouverte de 8h30 à 15h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/20/preview","logorest.hautcarre@crous-bordeaux.fr","05.40.00.34.50",TRUE,"Talence","Carte bancaire, IZLY","Tram B - Arrêt Forum",TRUE,NA,1,"Bordeaux",1,"Restaurant"
1642,"Restaurant la Passerelle","Avenue Léon Duguit, 33600 Pessac",44.8,-0.611663,"du lundi au vendredi, 12h-13h45","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1642/preview","ru-passerelle@crous-bordeaux.fr","05.56.80.67.55",TRUE,"Pessac","Carte bancaire, IZLY","",TRUE,NA,1,"Bordeaux",1,"Restaurant"
153,"RU Les Cèdres","Bâtiment 406, rue Claude Bernard - 91400 Orsay",48.703156,2.1818593,"11h30-14h, 18h-21h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/153/preview",NA,"01.69.15.41.66",TRUE,"Essonne","IZLY","",TRUE,NA,6,"Versailles",1,"Restaurant"
